"status","id","nome","categoria","subcategoria","subcategoria2","peso","altura","largura","comprimento","preco","destaque","descricao","imagens","nome_variacao_1","variacoes_1","nome_variacao_2","variacoes_2","nome_variacao_3","variacoes_3","caminho_origem","pasta_produto"
"ativo","3-2-5-065","Miniatura Pinguini Sushini","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-065-miniatura-pinguini-sushini/1.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-065-miniatura-pinguini-sushini/2.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\065 PINGUINI SUSHINI","3-2-5-065-miniatura-pinguini-sushini"
"ativo","3-2-5-066","Miniatura Svinino Bombombino","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-066-miniatura-svinino-bombombino/1.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-066-miniatura-svinino-bombombino/2.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\066 SVININO BOMBOMBINO","3-2-5-066-miniatura-svinino-bombombino"
"ativo","3-2-5-067","Miniatura Trulimero Trulicina","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-067-miniatura-trulimero-trulicina/1.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-067-miniatura-trulimero-trulicina/2.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\067 TRULIMERO TRULICINA","3-2-5-067-miniatura-trulimero-trulicina"
"ativo","3-2-5-068","Miniatura Tung Tung Sahur","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-068-miniatura-tung-tung-sahur/1.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-068-miniatura-tung-tung-sahur/2.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\068 TUNG TUNG SAHUR","3-2-5-068-miniatura-tung-tung-sahur"
"ativo","3-2-5-069","Miniatura Bearorito Applepitolirotito","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-069-miniatura-bearorito-applepitolirotito/1.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-069-miniatura-bearorito-applepitolirotito/2.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\069 BEARORITO APPLEPITOLIROTITO","3-2-5-069-miniatura-bearorito-applepitolirotito"
"ativo","3-2-5-070","Miniatura Tung Tung Tung Assassino Boenco","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-070-miniatura-tung-tung-tung-assassino-boenco/1.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-070-miniatura-tung-tung-tung-assassino-boenco/2.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\070 TUNG TUNG TUNG ASSASSINO BOENCO","3-2-5-070-miniatura-tung-tung-tung-assassino-boenco"
"ativo","3-2-6-001","Cofre Caixa Super Mario","decoracao","Miniaturas","Itens Temáticos","95.14","7.1","7.5","7.5","19.9","Destaque","Tamanho aproximado: 7,5 cm x 7,5 cm x 7,1 cm","produtos/imagens/decoracao/miniaturas/itens-tematicos/3-2-6-001-cofre-caixa-super-mario/1.png|produtos/imagens/decoracao/miniaturas/itens-tematicos/3-2-6-001-cofre-caixa-super-mario/2.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\6 ITENS TEMÁTICOS\001 COFRE CAIXA SUPER MARIO","3-2-6-001-cofre-caixa-super-mario"
"ativo","3-2-6-002","Miniatura Taça Copa do Mundo","decoracao","Miniaturas","Itens Temáticos","87.73","17.5","7","6.9","24.9","","Tamanho aproximado: 6,9 cm x 7 cm x 17,5 cm","produtos/imagens/decoracao/miniaturas/itens-tematicos/3-2-6-002-miniatura-taca-copa-do-mundo/1.jpg","","","","","","","3 DECORAÇÃO\2 MINIATURAS\6 ITENS TEMÁTICOS\002 TAÇA COPA DO MUNDO","3-2-6-002-miniatura-taca-copa-do-mundo"
"ativo","3-3-1-001","Letreiro Letra+Nome","decoracao","Letreiros","Nomes","123.81","18","3.5","22","24.9","Destaque","Tamanho aproximado: 22 cm x 3,5 cm x 18 cm","produtos/imagens/decoracao/letreiros/nomes/3-3-1-001-letreiro-letranome/1.png|produtos/imagens/decoracao/letreiros/nomes/3-3-1-001-letreiro-letranome/2.png|produtos/imagens/decoracao/letreiros/nomes/3-3-1-001-letreiro-letranome/3.png|produtos/imagens/decoracao/letreiros/nomes/3-3-1-001-letreiro-letranome/4.png|produtos/imagens/decoracao/letreiros/nomes/3-3-1-001-letreiro-letranome/5.png|produtos/imagens/decoracao/letreiros/nomes/3-3-1-001-letreiro-letranome/6.png","Cor da Base","Branco|Preto|Cinza|Amarelo|Azul|Verde|Vermelho|Rosa|Verde Jade|Dourado|Laranja|Roxo|Marrom|Bege","Cor do Nome","Branco|Preto|Cinza|Amarelo|Azul|Verde|Vermelho|Rosa|Verde Jade|Dourado|Laranja|Roxo|Marrom|Bege","Nome","TEXTO","3 DECORAÇÃO\3 LETREIROS\1 NOME\001 LETRA+NOME","3-3-1-001-letreiro-letranome"
"ativo","3-3-2-001","Letreiro Confie em Deus","decoracao","Letreiros","Frases","102.06","7.8","3.1","24","15.9","","Tamanho aproximado: 24 cm x 3,1 cm x 7,8 cm","produtos/imagens/decoracao/letreiros/frases/3-3-2-001-letreiro-confie-em-deus/1.png","Cor da Base","Branco|Preto|Cinza|Amarelo|Azul|Verde|Vermelho|Rosa|Verde Jade|Dourado|Laranja|Roxo|Marrom|Bege","Cor do Nome","Branco|Preto|Cinza|Amarelo|Azul|Verde|Vermelho|Rosa|Verde Jade|Dourado|Laranja|Roxo|Marrom|Bege","","","3 DECORAÇÃO\3 LETREIROS\2 FRASES\001 CONFIE EM DEUS","3-3-2-001-letreiro-confie-em-deus"
